country,ingredient_simple,count
chinese,garlic,53
chinese,cornstarch,45
chinese,ginger,39
chinese,onion,21
chinese,mushrooms,17
chinese,shrimp,15
chinese,pork,13
chinese,vinegar,13
chinese,beef,12
chinese,scallion,12
chinese,carrot,11
chinese,chili,11
chinese,chilies,11
chinese,white,11
chinese,sections,10
indian,masala,15
indian,yogurt,13
indian,garlic,11
indian,pieces,10
indian,cloves,8
indian,coriander,8
indian,ghee,8
indian,ginger,8
indian,methi,7
indian,minced,7
indian,chili,6
indian,cinnamon,6
indian,cubes,6
indian,flour,6
indian,juice,6
indonesian,chili,5
indonesian,flour,3
indonesian,garlic,3
indonesian,beef,2
indonesian,cloves,2
indonesian,egg,2
indonesian,eggs,2
indonesian,ginger,2
indonesian,manis,2
indonesian,milk,2
indonesian,rice,2
indonesian,shallots,2
indonesian,turmeric,2
indonesian,about,1
indonesian,anchovies,1
japanese,mirin,14
japanese,sake,12
japanese,egg,6
japanese,mushrooms,6
japanese,flour,5
japanese,garlic,5
japanese,ginger,5
japanese,dashi,4
japanese,eggs,4
japanese,about,3
japanese,butter,3
japanese,frying,3
japanese,katsuobushi,3
japanese,ketchup,3
japanese,kombu,3
malaysian,garlic,43
malaysian,chili,24
malaysian,ginger,20
malaysian,onion,18
malaysian,chilies,17
malaysian,lemongrass,13
malaysian,flour,12
malaysian,cloves,11
malaysian,pieces,11
malaysian,shallots,11
malaysian,anise,10
malaysian,chunks,10
malaysian,cornstarch,10
malaysian,turmeric,10
malaysian,butter,9
philipines,chili,2
philipines,chicken,1
philipines,crushed,1
philipines,onion,1
philipines,peppercorn,1
philipines,pieces,1
philipines,vinegar,1
thai,garlic,15
thai,meat,8
thai,chili,7
thai,eggs,7
thai,juice,7
thai,pieces,7
thai,frying,5
thai,milk,5
thai,bashed,4
thai,chilies,4
thai,cornstarch,4
thai,cubes,4
thai,diced,4
thai,sections,4
thai,strips,4
vietnamese,minced,11
vietnamese,juice,3
vietnamese,anise,2
vietnamese,garlic,2
vietnamese,ginger,2
vietnamese,honey,2
vietnamese,matchsticks,2
vietnamese,onions,2
vietnamese,squeezed,2
vietnamese,stick,2
vietnamese,wedges,2
vietnamese,bashed,1
vietnamese,beef,1
vietnamese,belly,1
vietnamese,cardamon,1
