country,ingredient
chinese,600g (1.3 pounds) eggplant
chinese,4 medium-sized dried shitake mushrooms
chinese,100g firm tofu
chinese,2 tbsp vegetable oil
chinese,1 tsp Sichuan peppercorn
chinese,1 tbsp chopped garlic
chinese,1 tbsp chopped ginger
chinese,1 tbsp chopped green onion
chinese,2 dried chilies
chinese,3 tbsp doubanjiang
chinese,1 tbsp vegetarian oyster sauce
chinese,1 tbsp Chinkiang vinegar
chinese,1/2 tsp sugar
chinese,1 tbsp Shaoxing wine
chinese,Red chili and green onion to garnish
chinese,"1 bunch scallions (separate whites and greens, about 100g)"
chinese,"1/2 onion, thinly sliced (about 100g)"
chinese,"3/4  cup (180 ml) neutral oil (soybean, peanut, or canola)"
chinese,1/2  cup (125ml)  light soy sauce
chinese,2 tbsp dark soy sauce
chinese,6 slices ginger
chinese,1.5 tbsp sugar
chinese,7 oz (200g) wheat noodles (fresh or dried)
chinese,Ingredients A (For the stuffing)
chinese,450g minced pork
chinese,1 tbsp light soy sauce
chinese,1 tbsp oyster sauce
chinese,1 tsp minced ginger
chinese,2 tsp minced garlic
chinese,1 tbsp Shaoxing wine
chinese,1/2 tsp salt
chinese,1/2 tsp ground white pepper
chinese,"3 medium-sized dried shitake mushrooms, soak and diced"
chinese,"1 small onion, finely diced"
chinese,1 tbsp finely diced carrot
chinese,Ingredients B (bitter gourd)
chinese,2 medium-sized bitter gourd
chinese,1tsp salt
chinese,Ingredients C (Black bean sauce - optional)
chinese,2 clove garlic
chinese,2 tbsp store-bought black bean paste
chinese,1 tbsp Shaoxing wine
chinese,2 tsp oil
chinese,1 tsp cornstarch (mixed with 2 tbsp of cold water)
chinese,100 g Rice Flour
chinese,40 g Wheat Starch
chinese,40 g Cornstarch
chinese,25 g All-Purpose Flour
chinese,½ tsp Baking Powder
chinese,1/2 tsp Salt
chinese,180 ml Ice-Cold Water (adjust for a thin batter)
chinese,1 Egg White 
chinese,1 tsp Vegetable Oil
chinese,20 medium-sized shrimp
chinese,Oil for frying
chinese,"150g (5 oz) Chicken Breast or Thigh, thinly sliced"
chinese,1 tsp Light Soy Sauce
chinese,½ tsp Cornstarch
chinese,½ tsp Sesame Oil
chinese,A pinch of White Pepper
chinese,1 medium fuzzy Melon (500g / 1 lb) 
chinese,"3 tbsp Dried Shrimp, rinsed and soaked"
chinese,"2-3 cloves of Garlic, minced"
chinese,"1 bundle (50-70g / 2 oz) Glass Noodles, soaked"
chinese,Reserved Dried Shrimp Soaking Water
chinese,2 tbsp vegetable oil 
chinese,"1-2 stalks scallion, sliced (for garnish)"
chinese,1 tbsp Light Soy Sauce
chinese,1 tbsp Oyster Sauce 
chinese,¼ tsp White Pepper
chinese,1/2 tsp salt
chinese,1 tsp Sesame Oil (for finishing)
chinese,600g large shrimp (weigh without head and shell)
chinese,1 tbsp  cornflour
chinese,1/2 teaspoon ground white pepper
chinese,1/2 teaspoon sugar
chinese,2 stalks scallions
chinese,3 tbsp chopped garlic
chinese,2 tbsp premium light soy sauce
chinese,1 tbsp Shaoxing wine
chinese,1/2 teaspoon sesame oil
chinese,2 tablespoons vegetable oil
chinese,"1 kg beef (brisket, chuck)"
chinese,To blanch the beef:
chinese,4 slices ginger
chinese,1 handful of scallion
chinese,To brown the beef:
chinese,1.5 tbsp cooking oil
chinese,4 slices ginger
chinese,"4 cloves garlic, crushed"
chinese,1 handful scallion (cut into sections)
chinese,1 medium-size onion (cut into large pieces)
chinese,To braise the beef:
chinese,1 cinnamon bark (about 5cm)
chinese,2 bay leaves
chinese,1 star anise (about 10 star-points)
chinese,1pc large dried orange peel
chinese,2-4 dried chilies
chinese,1 tbsp brown sugar
chinese,2 tbsp Shaoxing wine
chinese,2.5 tbsp light soy sauce
chinese,1 tsp dark soy sauce
chinese,1 tsp salt
chinese,1.5 tbsp doubanjiang (chili bean paste)
chinese,1 tbsp tomato paste
chinese,Sufficient water to braise the beef
chinese,Serve with:
chinese,Any noodle of your choice
chinese,Bok choy
chinese,Hard-boiled egg
chinese,To blanch the pork:
chinese,500g (1 pound) pork belly
chinese,1 stalk scallion
chinese,1cm (1/2 inch) length of ginger
chinese,1.5 tbsp sugar
chinese,1 tsp salt
chinese,1 tbsp cooking oil
chinese,2 tbsps Shaoxing wine
chinese,2 tbsp light soy sauce
chinese,1 tbsp dark soy sauce
chinese,1 stalk scallion
chinese,1cm (1/2 inch) length of ginger
chinese,1 star anise
chinese,5 cm cinnamon bark
chinese,2 bay leaves
chinese,water to braise and blanch the pork
chinese,Sacllion to garnish
chinese,1 tsp light soy sauce
chinese,1 tsp oil
chinese,1/8 tsp salt
chinese,1/4 egg white
chinese,1/4 tsp salt
chinese,1/4 tsp sugar
chinese,1 tsp oyster sauce
chinese,dash ground white pepper
chinese,"1/2 teaspoon cornflour, as the thickener"
chinese,3 tablespoons water
chinese,"100 g chicken, breast or thigh meat, cut into slices"
