country,recipe_title,recipe_url,ingredient
chinese,Yu Xiang Eggplant (鱼香茄子),https://tasteasianfood.com/yu-xiang-eggplant/,600g (1.3 pounds) eggplant
chinese,Yu Xiang Eggplant (鱼香茄子),https://tasteasianfood.com/yu-xiang-eggplant/,4 medium-sized dried shitake mushrooms
chinese,Yu Xiang Eggplant (鱼香茄子),https://tasteasianfood.com/yu-xiang-eggplant/,100g firm tofu
chinese,Yu Xiang Eggplant (鱼香茄子),https://tasteasianfood.com/yu-xiang-eggplant/,2 tbsp vegetable oil
chinese,Yu Xiang Eggplant (鱼香茄子),https://tasteasianfood.com/yu-xiang-eggplant/,1 tsp Sichuan peppercorn
chinese,Yu Xiang Eggplant (鱼香茄子),https://tasteasianfood.com/yu-xiang-eggplant/,1 tbsp chopped garlic
chinese,Yu Xiang Eggplant (鱼香茄子),https://tasteasianfood.com/yu-xiang-eggplant/,1 tbsp chopped ginger
chinese,Yu Xiang Eggplant (鱼香茄子),https://tasteasianfood.com/yu-xiang-eggplant/,1 tbsp chopped green onion
chinese,Yu Xiang Eggplant (鱼香茄子),https://tasteasianfood.com/yu-xiang-eggplant/,2 dried chilies
chinese,Yu Xiang Eggplant (鱼香茄子),https://tasteasianfood.com/yu-xiang-eggplant/,3 tbsp doubanjiang
chinese,Yu Xiang Eggplant (鱼香茄子),https://tasteasianfood.com/yu-xiang-eggplant/,1 tbsp vegetarian oyster sauce
chinese,Yu Xiang Eggplant (鱼香茄子),https://tasteasianfood.com/yu-xiang-eggplant/,1 tbsp Chinkiang vinegar
chinese,Yu Xiang Eggplant (鱼香茄子),https://tasteasianfood.com/yu-xiang-eggplant/,1/2 tsp sugar
chinese,Yu Xiang Eggplant (鱼香茄子),https://tasteasianfood.com/yu-xiang-eggplant/,1 tbsp Shaoxing wine
chinese,Yu Xiang Eggplant (鱼香茄子),https://tasteasianfood.com/yu-xiang-eggplant/,Red chili and green onion to garnish
chinese,Scallion Oil Noodles 葱油拌面,https://tasteasianfood.com/scallion-oil-noodles/,"1 bunch scallions (separate whites and greens, about 100g)"
chinese,Scallion Oil Noodles 葱油拌面,https://tasteasianfood.com/scallion-oil-noodles/,"1/2 onion, thinly sliced (about 100g)"
chinese,Scallion Oil Noodles 葱油拌面,https://tasteasianfood.com/scallion-oil-noodles/,"3/4  cup (180 ml) neutral oil (soybean, peanut, or canola)"
chinese,Scallion Oil Noodles 葱油拌面,https://tasteasianfood.com/scallion-oil-noodles/,1/2  cup (125ml)  light soy sauce
chinese,Scallion Oil Noodles 葱油拌面,https://tasteasianfood.com/scallion-oil-noodles/,2 tbsp dark soy sauce
chinese,Scallion Oil Noodles 葱油拌面,https://tasteasianfood.com/scallion-oil-noodles/,6 slices ginger
